date,Q_mm,P_mm,Tmean,P_mm_filled,Tmean_filled,PET_mm,Qsim_GR4J,Qsim_GR5J,Qsim_GR6J,Qsim_mm
2021-09-13,0.5246320785365854,0,22.016666666666666,0,22.016666666666666,3.5578690343465533,20.308903510854453,20.625397195800787,20.691314184874592,20.058996560390746
2021-09-14,0.16954757769512196,0,21.05246913580247,0,21.05246913580247,3.4065397718041646,20.205059425172998,20.62339390576964,20.691308301054008,19.941405190619733
2021-09-15,0.2044850593170732,0,21.665755919854277,0,21.665755919854277,3.4616509291310544,20.170231006373164,20.623228774291462,20.691308227051334,19.89988031069436
2021-09-16,0.2693056280487805,0,21.405864197530864,0,21.405864197530864,3.4029315065621617,20.15847430346941,20.623215160335747,20.691308226120583,19.885110056595252
2021-09-17,0.1316194906609756,0,21.850308641975303,0,21.850308641975303,3.4346656677101204,20.154497088871963,20.623214037944066,20.69130822610888,19.87984282618431
2021-09-18,1.1175386769840732,0,21.186728395061728,0,21.186728395061728,3.3247423944251486,20.15315063745087,20.62321394540929,20.691308226108724,19.877962757824868
2021-09-19,2.7745524197560982,2.54,21.159722222222225,2.54,21.159722222222225,3.296180495938602,20.152694695002147,20.62321393778032,20.691308226108724,19.877291473374413
2021-09-20,4.279005579512196,1.5239999999999998,21.872222222222224,1.5239999999999998,21.872222222222224,3.36002433299052,20.152540288415807,20.623213937151363,20.691308226108724,19.877051761199663
2021-09-21,28.856663664146343,1.016,17.612654320987655,1.016,17.612654320987655,2.805508812394993,20.15248799657124,20.6232139370995,20.691308226108724,19.876966157674484
2021-09-22,431.42529564878055,130.048,19.258487654320984,130.048,19.258487654320984,2.9861097069278273,146.23677108180658,147.53922933060426,147.73001212650567,145.84475183281273
2021-09-23,0.3916679800170732,5.842,13.408730158730158,5.842,13.408730158730158,2.248065483110098,28.07014617749066,24.86694608531379,24.35253604334264,28.121532247761223
2021-09-24,4.988516851066203,0,11.80864197530864,0,11.80864197530864,2.0362095795906883,22.370644025505406,20.962490299404617,20.727732953910966,22.278766956505162
2021-09-25,NA,NA,NA,0,12.756430041152262,2.1335969867493403,20.831994957155178,20.65050905711375,20.69176458342388,20.64821760259339
2021-09-26,NA,NA,NA,0,13.704218106995883,2.2290812724055407,20.375492326592237,20.625459807883477,20.69131396558455,20.142931899202974
2021-09-27,15.437648491149826,0,14.652006172839505,0,14.652006172839505,2.322662854196305,20.227216552115088,20.623399066117717,20.691308298295933,19.970774550656934
2021-09-28,9.39714123419769,0,18.174491392801254,0,18.174491392801254,2.7161040295050807,20.177690570109835,20.62322919972144,20.69130822701665,19.91029318083824
2021-09-29,9.043465094268294,0,18.78240740740741,0,18.78240740740741,2.763844203229009,20.160995567450186,20.623215195409948,20.691308226120142,19.888819134171463
2021-09-30,8.385528763170733,0,17.630672926447573,0,17.630672926447573,2.6076070081796714,20.155350382593753,20.623214040835737,20.691308226108866,19.881166190379048
2021-10-01,6.652219092527639,0,14.488727858293077,0,14.488727858293077,2.2262873959035008,20.153439554649772,20.62321394564768,20.691308226108724,19.878435200204127
2021-10-02,4.389218534634147,0,16.122685185185187,0,16.122685185185187,2.3920313781598432,20.15279253447948,20.623213937799974,20.691308226108724,19.877460171278926
2021-10-03,5.019274928048781,0,17.969135802469136,0,17.969135802469136,2.578399496383581,20.15257342266708,20.62321393715297,20.691308226108724,19.877112003722665
2021-10-04,18.737666819634146,21.843999999999998,19.350308641975314,21.843999999999998,19.350308641975314,2.7093587974505464,38.47471451437378,39.62358200941474,39.80363304868007,38.10929841005283
2021-10-05,16.889714108414637,1.5239999999999998,19.13503086419753,1.5239999999999998,19.13503086419753,2.6615586801345272,23.87018514272556,21.267676670359023,20.76017337995016,23.840213104665278
2021-10-06,11.68521517792683,10.414,19.596031746031752,10.414,19.596031746031752,2.6881282976977428,28.454462369666164,28.29669976067514,28.398384233984306,28.258536297365076
2021-10-07,8.188855494146342,1.5239999999999998,18.561815336463226,1.5239999999999998,18.561815336463226,2.551890990474489,22.70404986865696,21.110331990830325,20.745420427756418,22.59141788440657
2021-10-08,9.424868436219514,9.143999999999998,17.013302034428794,9.143999999999998,17.013302034428794,2.3625430656020794,27.239141376224154,27.345874090506804,27.454319682669162,27.010590153657454
2021-10-09,9.721810642682929,2.2859999999999996,16.940532081377153,2.2859999999999996,16.940532081377153,2.3332256933237887,22.480937171197695,21.08060693744995,20.74245876601785,22.348387041096892
2021-10-10,7.459954655487806,0.254,17.316358024691358,0.254,17.316358024691358,2.3513811695347133,20.862342620968093,20.659702471017408,20.691948080266336,20.66821172293895
2021-10-11,7.792762826707318,0,16.6875,0,16.6875,2.2639958807719074,20.38512979236277,20.62621424931159,20.69131627321505,20.14958384460133
2021-10-12,7.305114939512196,0,18.427469135802465,0,18.427469135802465,2.4229002252004608,20.230412045202208,20.62346124180467,20.69130832731971,19.973092528460626
2021-10-13,6.113445977195123,0,19.34523809523809,0,19.34523809523809,2.4942910539688996,20.178765117527924,20.6232343255911,20.69130822738169,19.911113830997813
2021-10-14,5.853493449878049,0,17.965277777777782,0,17.965277777777782,2.330816462089042,20.161358610323738,20.62321561800756,20.691308226124733,19.88911130106724
2021-10-15,4.339176575853659,0,19.87114197530864,0,19.87114197530864,2.5004440588609094,20.15547323390975,20.623214075676493,20.691308226108923,19.88127041376785
2021-10-16,11.194246080365856,0,15.929783950617285,0,15.929783950617285,2.084272390052828,20.153481149054635,20.623213948520103,20.69130822610873,19.878472405637662
2021-10-17,10.44566521390244,6.35,10.48611111111111,6.35,10.48611111111111,1.5275141537499475,24.580637653444096,25.362938630759956,25.49614024738193,24.26745890206876
2021-10-18,8.349514655487805,0,12.012345679012345,0,12.012345679012345,1.6620598227278958,21.88625114831001,21.000639004934914,20.734303188053598,21.697949647363735
2021-10-19,8.512519022560976,0,12.772376543209877,0,12.772376543209877,1.7197116941696147,20.695091887828,20.65349538165193,20.691846525291957,20.476555363395704
2021-10-20,6.491201952804879,0,13.229166666666666,0,13.229166666666666,1.7470062858099136,20.331679692293754,20.625704985825614,20.691314996085083,20.085324508645648
2021-10-21,3.612963409024391,0,12.73148148148148,0,12.73148148148148,1.682991004082779,20.212653516755346,20.623419272684437,20.691308311256858,19.950641599441056
2021-10-22,6.2292339342439025,4.571999999999999,13.661971830985916,4.571999999999999,13.661971830985916,1.7542717202890752,22.729415906415227,23.380562507555545,23.49364077243327,22.43608544436134
2021-10-23,8.266329397317074,0,11.719092331768387,0,11.719092331768387,1.556502858619288,21.28133668494327,20.884749989171823,20.72177428445392,21.059669241346867
2021-10-24,7.126800627073171,0,16.449074074074076,0,16.449074074074076,1.9776113651030587,20.515480358738753,20.6443724383726,20.69169016991084,20.277440326850478
2021-10-25,4.392002167418451,0,16.10746812386157,0,16.10746812386157,1.9273607036840663,20.273353055829226,20.624955656191908,20.691313029745,20.017375228507998
2021-10-26,14.003160804512197,13.208,10.549886621315194,13.208,10.549886621315194,1.4062090426959306,31.321867112685293,32.30462684180122,32.471934329765084,30.985069941642973
2021-10-27,11.642493859024391,0,8.658059467918623,0,8.658059467918623,1.2232378751823587,23.211690169056638,21.196386317244396,20.753784441250872,23.121335567115104
2021-10-28,9.208288722073172,0,9.44679186228482,0,9.44679186228482,1.2814398540401035,21.056043078020387,20.668564008106564,20.692088818865702,20.88222245240426
2021-10-29,44.08567055002307,20.32,13.849537037037038,20.32,13.849537037037038,1.655923404666828,38.32329592741621,39.157346058019705,39.333122135966576,38.013738249247346
2021-10-30,33.80548785585366,13.716,10.597993827160492,13.716,10.597993827160492,1.3571604026082156,35.713395690130156,33.52007529759461,33.10751032475026,35.63917591349077
2021-10-31,40.012450853414634,0.7619999999999999,11.777777777777779,0.7619999999999999,11.777777777777779,1.4458798935770651,23.555927508659202,21.210714234047416,20.75463668681337,23.516230702221605
